,rps,lat_avg,lat_std,lat_max,p50,p75,p90,p99,cpu_mean,cpu_std,tx_mean,rx_mean
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,5372.8,18.88,8.308,110.81599999999999,17.804000000000002,22.936,28.758,44.67,0.37905879355153205,0.4047733514259287,386047.6890450665,385462.86826898
std,352.8003238377199,1.4972140795490794,2.038595104477591,56.0992925980355,1.043086765326836,1.7320017321007501,2.6917132090919336,9.326049538791867,0.023713573618681465,0.026960645921099723,26827.190676914124,22177.46658291147
min,4857.12,17.42,6.75,59.8,16.72,21.26,26.17,37.01,0.34158546312410226,0.36538052971422835,358648.1745531591,361290.65740977717
25%,5227.35,17.86,7.26,77.58,17.04,21.63,26.78,39.28,0.37142505123152747,0.399775813151684,359196.6027975897,363491.45531222434
50%,5396.99,18.61,7.48,94.47,17.72,22.66,28.22,41.5,0.38559369655826253,0.404306798268548,387506.1466778935,389867.1186663936
75%,5630.61,19.27,8.22,118.96,18.17,23.54,29.72,45.08,0.39802969325193116,0.4144651105744624,410051.4681996192,404114.86893677956
max,5751.93,21.24,11.83,203.27,19.37,25.59,32.9,60.48,0.3986600635918371,0.4399385054207208,414836.0529970708,408550.2410197252
