run_id,throughput_gbps,retransmissions
20260319_121732,3.6152327805939044,363222
20260319_122221,3.57351617780827,346989
20260319_122516,3.6181093331039555,378982
20260319_122812,3.5856423737718157,387764
20260319_123107,3.6227616506693763,437960
