run_id,rps,lat_avg,lat_std,lat_max,p50,p75,p90,p99,cpu_mean,cpu_std,tx_mean,rx_mean
20260319_161207,9627.88,10.96,7.64,80.46,10.12,15.21,21.09,33.88,0.8493668208879668,0.516876469668587,947675.6573350225,957263.3204560096
20260319_161421,9884.63,10.7,7.56,76.11,9.85,14.88,20.78,33.5,0.6621555456097429,0.591500571963888,741929.6826282373,726558.0834765746
20260319_161636,9965.99,10.63,7.54,72.7,9.76,14.85,20.63,33.45,0.6864990667536721,0.6031140939912396,826152.6700511107,822861.3335207831
20260319_161851,9969.82,10.61,7.48,76.51,9.75,14.77,20.61,33.21,0.6763690771142169,0.5941401555291719,723367.5262651417,720243.390526054
20260319_162106,9561.33,11.13,7.98,83.3,10.17,15.4,21.65,35.69,0.6536593222314209,0.5822014199227112,719693.5183165601,715209.8824222079
