,rps,lat_avg,lat_std,lat_max,p50,p75,p90,p99,cpu_mean,cpu_std,tx_mean,rx_mean
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,9801.93,10.806000000000001,7.640000000000001,77.816,9.93,15.022000000000002,20.951999999999998,33.946,0.705609966519404,0.5775665422151196,791763.8109192143,788427.2020803259
std,193.72905577119815,0.22875751353780757,0.1984943324127922,4.118692753775155,0.20087309426600652,0.26994443872767626,0.4348792935976599,1.0040567713032948,0.08135331188638995,0.03473573895192293,97271.16306749736,104317.9516778142
min,9561.33,10.61,7.48,72.7,9.75,14.77,20.61,33.21,0.6536593222314209,0.516876469668587,719693.5183165601,715209.8824222079
25%,9627.88,10.63,7.54,76.11,9.76,14.85,20.63,33.45,0.6621555456097429,0.5822014199227112,723367.5262651417,720243.390526054
50%,9884.63,10.7,7.56,76.51,9.85,14.88,20.78,33.5,0.6763690771142169,0.591500571963888,741929.6826282373,726558.0834765746
75%,9965.99,10.96,7.64,80.46,10.12,15.21,21.09,33.88,0.6864990667536721,0.5941401555291719,826152.6700511107,822861.3335207831
max,9969.82,11.13,7.98,83.3,10.17,15.4,21.65,35.69,0.8493668208879668,0.6031140939912396,947675.6573350225,957263.3204560096
