run_id,rps,lat_avg,lat_std,lat_max,p50,p75,p90,p99,cpu_mean,cpu_std,tx_mean,rx_mean
20260319_163024,5751.93,17.42,6.75,59.8,16.72,21.26,26.17,37.01,0.37142505123152747,0.4399385054207208,358648.1745531591,363491.45531222434
20260319_163240,5227.35,19.27,8.22,94.47,18.17,23.54,29.72,45.08,0.3986600635918371,0.399775813151684,414836.0529970708,404114.86893677956
20260319_163455,5396.99,18.61,7.48,77.58,17.72,22.66,28.22,41.5,0.39802969325193116,0.404306798268548,410051.4681996192,408550.2410197252
20260319_163718,5630.61,17.86,7.26,118.96,17.04,21.63,26.78,39.28,0.38559369655826253,0.4144651105744624,387506.1466778935,389867.1186663936
20260319_163933,4857.12,21.24,11.83,203.27,19.37,25.59,32.9,60.48,0.34158546312410226,0.36538052971422835,359196.6027975897,361290.65740977717
